"COLUMN_NAME","COMMENTS"
"F0155_040N","取得投资收益收到的现金"
"F0155_041N","处置固定资产、无形资产和其他长期资产收回的现金净额"
"F0155_042N","处置子公司及其他营业单位收到的现金净额"
"F0155_043N","收到其他与投资活动有关的现金"
"F0155_044N","投资活动现金流入小计"
"F0155_045N","购建固定资产、无形资产和其他长期资产支付的现金"
"F0155_046N","投资支付的现金"
"F0155_047N","质押贷款净增加额"
"F0155_048N","取得子公司及其他营业单位支付的现金净额"
"F0155_049N","支付其他与投资活动有关的现金"
"F0155_050N","投资活动现金流出小计"
"F0155_051N","投资活动产生的现金流量净额"
